specimen,hook,length,base
t1.10,1,59.4,11.58
t1.10,2,65.87,14.54
t1.10,3,56.75,19.91
t1.10,4,68.02,16.78
t1.10,5,68.61,18.17
t1.10,6,68.98,17.76
t1.10,7,72.59,20.97
t1.10,8,72.17,18.42
t1.10,9,73.49,21.87
t1.10,10,71.48,19.97
t1.10,11,70.19,22.33
t1.10,12,70.37,22.93
t1.10,13,68.59,21.83
t1.10,14,58.76,13.7
t1.10,15,47.7,9.38
t1.27,1,34.26,10.27
t1.27,2,68.37,13.19
t1.27,3,66.96,15.75
t1.27,4,66.59,15.16
t1.27,5,68.4,16.93
t1.27,6,71.52,18.5
t1.27,7,70.35,18.86
t1.27,8,70.38,18.16
t1.27,9,70.53,17.63
t1.27,10,71.53,19.03
t1.27,11,70.93,20.64
t1.27,12,73.27,21.7
t1.27,13,73.43,20.97
t1.27,14,63.46,17.09
t1.27,15,58.08,11.45
t1.28,1,64.04,16.89
t1.28,2,68.52,16.43
t1.28,3,74.3,19.88
t1.28,4,73.87,20.4
t1.28,5,77.86,22.93
t1.28,6,76.2,22.77
t1.28,7,76.73,22.33
t1.28,8,77.45,21.57
t1.28,9,77.13,22.58
t1.28,10,74.73,21.82
t1.28,11,72.7,22.34
t1.28,12,65.95,22.54
t1.28,13,64.39,20.01
t1.36,1,55.74,15.79
t1.36,2,67.16,17.69
t1.36,3,69.98,17.09
t1.36,4,72.45,18.84
t1.36,5,73.77,18.54
t1.36,6,76.45,22.13
t1.36,7,76.89,21.75
t1.36,8,73.16,22.42
t1.36,9,71.92,23.43
t1.36,10,72.69,24
t1.36,11,70.7,24.51
t1.36,12,69.2,23.64
t1.36,13,61.82,19.26
t1.36,14,54.78,13.66
t1.37,1,66.15,13.97
t1.37,2,68.51,16.72
t1.37,3,71.67,16.15
t1.37,4,74.89,18.3
t1.37,5,74.89,20.85
t1.37,6,74.55,20.85
t1.37,7,74.71,19.95
t1.37,8,73.18,21.57
t1.37,9,69.37,20.34
t1.37,10,72.21,21.45
t1.37,11,69.81,24.31
t1.37,12,68.05,20.38
t1.37,13,64.19,15.33
t1.37,14,61.26,12.24
t1.45,1,65.37,12.24
t1.45,2,71.78,13.7
t1.45,3,70.42,16.06
t1.45,4,74.56,18.29
t1.45,5,73.53,18.42
t1.45,6,72.49,19.77
t1.45,7,72.56,18.86
t1.45,8,71.14,20.44
t1.45,9,73.11,20.48
t1.45,10,70.93,19.77
t1.45,11,73.55,21.32
t1.45,12,69.19,20.62
t1.45,13,71.23,23.24
t1.45,14,70.65,25.16
t1.45,15,63.65,17.43
t1.45,16,50.12,11.29
t1.46,1,65.18,12.9
t1.46,2,67.55,14.36
t1.46,3,68.4,14.16
t1.46,4,72.23,17.27
t1.46,5,74.34,17.97
t1.46,6,74.91,20.49
t1.46,7,74.25,19.03
t1.46,8,73.22,21.32
t1.46,9,72.32,18.25
t1.46,10,70.81,20.4
t1.46,11,69.34,21.32
t1.46,12,69.58,21.08
t1.46,13,71.38,23
t1.46,14,64.48,17.3
t1.46,15,55.54,12.06
t1.55,1,69.45,16.81
t1.55,2,70.25,15.1
t1.55,3,70.71,16.77
t1.55,4,70.54,18.69
t1.55,5,72.59,17.97
t1.55,6,73.51,20.36
t1.55,7,73.2,21.51
t1.55,8,75.07,23
t1.55,9,75.6,23.59
t1.55,10,76.42,24.15
t1.55,11,70,22.34
t1.55,12,65.67,22
t1.55,13,59.07,17.01
t1.55,14,59.93,17.86
t1.56,1,58.79,9.88
t1.56,2,63.94,12.85
t1.56,3,68.5,15.89
t1.56,4,73.84,18.71
t1.56,5,75.59,18.71
t1.56,6,75.7,19.2
t1.56,7,78.05,20.8
t1.56,8,78.8,21.19
t1.56,9,76.53,21.83
t1.56,10,77.29,23
t1.56,11,78.26,22.33
t1.56,12,75.88,23.51
t1.56,13,71.54,18.86
t1.56,14,64.66,16.45
t1.57,1,57.94,14.83
t1.57,2,65.38,17.77
t1.57,3,71.08,19.48
t1.57,4,74.45,17.87
t1.57,5,75.47,20.34
t1.57,6,74.64,22.11
t1.57,7,76.86,23.64
t1.57,8,75.37,22.77
t1.57,9,72.58,23.97
t1.57,10,73.13,26.6
t1.57,11,72.78,26.19
t1.57,12,69.43,24.95
t1.57,13,65.74,20.72
t1.57,14,59.93,15.75
t1.60,1,71.65,13.43
t1.60,2,75.69,19.59
t1.60,3,76.98,19.33
t1.60,4,80.15,20.17
t1.60,5,79.04,21.35
t1.60,6,76.85,20.61
t1.60,7,77.63,21.72
t1.60,8,78.5,21.94
t1.60,9,79.25,23.28
t1.60,10,77.94,23.72
t1.60,11,78.88,24.63
t1.60,12,77.67,22.84
t1.60,13,70.28,19.23
t1.60,14,60.47,11.66
t1.61,1,63.57,11.13
t1.61,2,68.05,16.41
t1.61,3,73.15,20.4
t1.61,4,74.41,21.36
t1.61,5,74.61,22.77
t1.61,6,70.47,19.46
t1.61,7,72.83,22.28
t1.61,8,69.66,21.82
t1.61,9,70.14,23.72
t1.61,10,71.38,24.59
t1.61,11,69.28,24.31
t1.61,12,64.71,23
t1.61,13,53.74,16.1
t1.64,1,64.86,13.84
t1.64,2,65.66,14.13
t1.64,3,67.4,15.97
t1.64,4,64.75,15.7
t1.64,5,70.09,17.77
t1.64,6,69.83,19.23
t1.64,7,70.81,18.6
t1.64,8,70.96,21.2
t1.64,9,69.78,20.21
t1.64,10,69.19,21.31
t1.64,11,69.65,20.8
t1.64,12,69.23,22.04
t1.64,13,68,21.51
t1.64,14,61.7,13.57
t1.65,1,73.99,16.81
t1.65,2,76.85,19.3
t1.65,3,76.99,19.83
t1.65,4,78.09,21.44
t1.65,5,77.39,21.7
t1.65,6,78.08,22.48
t1.65,7,74.73,21.18
t1.65,8,76.44,25.15
t1.65,9,72.63,24.78
t1.65,10,73.99,25.66
t1.65,11,75.2,26.28
t1.65,12,71.14,22.25
t1.65,13,61.91,14.85
t1.66,1,67.79,12.75
t1.66,2,73.03,19.23
t1.66,3,76.16,18.04
t1.66,4,75.1,22.31
t1.66,5,78.74,20.31
t1.66,6,75.74,19.85
t1.66,7,76.91,21.44
t1.66,8,77.08,21.54
t1.66,9,73.61,20.8
t1.66,10,76.17,23.54
t1.66,11,69.21,23.66
t1.66,12,73.26,23.61
t1.66,13,66.87,22.22
t1.66,14,65.25,13.46
t1.67,1,65.9,14.46
t1.67,2,72.88,16.91
t1.67,3,75.04,17.52
t1.67,4,75,21.04
t1.67,5,73.29,19.65
t1.67,6,73.33,21.44
t1.67,7,73.87,21.64
t1.67,8,72.1,19.85
t1.67,9,75.34,21.14
t1.67,10,72.69,21.03
t1.67,11,69.95,21.44
t1.67,12,61.12,15.88
t1.68,1,63.98,14.25
t1.68,2,71.01,18.33
t1.68,3,70.5,17.63
t1.68,4,70.75,19.97
t1.68,5,71.72,20.8
t1.68,6,72.37,19.2
t1.68,7,69.07,19.57
t1.68,8,71.34,21.32
t1.68,9,71.41,20.89
t1.68,10,70.66,22.11
t1.68,11,70.87,20.85
t1.68,12,60.92,15.33
t1.68,13,55.61,13.19
t1.69,1,64.39,15.06
t1.69,2,69.96,17.31
t1.69,3,71.59,17.76
t1.69,4,74.37,17.73
t1.69,5,74.68,20.85
t1.69,6,74.7,18.75
t1.69,7,74,21.17
t1.69,8,74.91,21.89
t1.69,9,75.93,23.48
t1.69,10,76.97,24.2
t1.69,11,76.27,25.03
t1.69,12,75.92,23.48
t1.69,13,73.87,22.54
t1.69,14,68.13,17.72
t1.69,15,54.64,11.45
t1.71,1,56.98,13.7
t1.71,2,62.9,15.54
t1.71,3,67.98,16.56
t1.71,4,66.68,16.78
t1.71,5,68.67,16.23
t1.71,6,69.48,20.64
t1.71,7,70.63,20.64
t1.71,8,70.3,19.41
t1.71,9,71.75,23.54
t1.71,10,71.07,23.05
t1.71,11,69.57,23.97
t1.71,12,69.88,24.67
t1.71,13,59.54,13.38
